Demand [MW],Optimal cost
1.0,69.83588496420317
3.0,209.5076548926096
5.0,349.1794248210159
7.0,488.8511947494224
9.0,628.5229646778278
11.0,768.1947346062352
13.0,907.8665045346416
15.0,1047.5382744630483
18.0,1257.0459293556576
21.0,1466.5535842482693
