Demand [MW],Hired energy
1.0,0.9999999999999998
3.0,3.000000000000001
5.0,5.000000000000001
7.0,7.000000000000002
9.0,9.0
11.0,10.999999999999998
13.0,12.999999999999996
15.0,15.000000000000002
18.0,18.0
21.0,20.999999999999996
